item_code,name,short_name,name_kana,receipt_code,category_code,default_duration_minutes,default_approach,default_position,default_anesthesia_methods,requires_laterality,display_order
150323510,腹腔鏡下胃切除術（悪性腫瘍手術）,腹腔鏡下胃切除,フククウキョウカイセツジョジュツ,150323510,0903,300,laparoscopic,supine,"general-inhalation,epidural",0,450
150181810,結腸切除術（結腸半側切除）,結腸半側切除,ケッチョウセツジョジュツ,150181810,0903,180,open,supine,"general-inhalation,epidural",0,460
150277810,腹腔鏡下結腸切除術（小範囲切除、結腸半側切除）,腹腔鏡下結腸切除,フククウキョウカケッチョウセツジョジュツ,150277810,0903,240,laparoscopic,lithotomy,"general-inhalation,epidural",0,470
150171610,胃瘻造設術（経皮的内視鏡下胃瘻造設術、腹腔鏡下胃瘻造設術を含む）,PEG,イロウゾウセツジュツ,150171610,0903,30,percutaneous,supine,"local,iv-sedation",0,480
150184510,人工肛門造設術,ストーマ造設,ジンコウコウモンゾウセツジュツ,150184510,0903,90,open,supine,general-inhalation,0,490
150188610,痔核手術（脱肛を含む）（根治手術（硬化療法を伴わない））,痔核根治術,ジカクシュジュツ,150188610,0905,45,,jackknife,spinal,0,500
150189910,痔瘻根治手術（単純）,痔瘻根治術,ジロウコンチシュジュツ,150189910,0905,45,,jackknife,spinal,0,510
150172410,胆嚢摘出術,開腹胆嚢摘出,タンノウテキシュツジュツ,150172410,0907,120,open,supine,general-inhalation,0,520
150254110,腹腔鏡下胆嚢摘出術,ラパコレ,フククウキョウカタンノウテキシュツジュツ,150254110,0907,120,laparoscopic,supine,general-inhalation,0,530
150325910,腹腔鏡下腎摘出術,腹腔鏡下腎摘,フククウキョウカジンテキシュツジュツ,150325910,1002,240,laparoscopic,lateral,general-inhalation,1,540
150303910,経尿道的尿管ステント留置術,尿管ステント留置,ケイニョウドウテキニョウカンステントリュウチジュツ,150303910,1003,30,percutaneous,lithotomy,spinal,1,550
150365010,経尿道的尿路結石除去術（レーザー）,TUL,ケイニョウドウテキニョウロケッセキジョキョジュツ,150365010,1003,90,percutaneous,lithotomy,spinal,1,560
150246210,膀胱悪性腫瘍手術（経尿道的手術）（その他）,TURBT,ボウコウアクセイシュヨウシュジュツ,150246210,1004,60,percutaneous,lithotomy,spinal,0,570
150207210,包茎手術（環状切除術）,包茎手術(環状切除),ホウケイシュジュツ,150207210,1101,30,,supine,local,0,580
150297610,陰嚢水腫手術（鼠径部切開によるもの）,陰嚢水腫手術,インノウスイシュシュジュツ,150297610,1102,45,,supine,spinal,1,590
150208610,停留精巣固定術,停留精巣固定,テイリュウセイソウコテイジュツ,150208610,1103,60,,supine,general-inhalation,1,600
150379610,経尿道的前立腺手術（電解質溶液利用）,TURP,ケイニョウドウテキゼンリツセンシュジュツ,150379610,1104,90,percutaneous,lithotomy,spinal,0,610
150217510,子宮全摘術,腹式子宮全摘,シキュウゼンテキジュツ,150217510,1107,150,open,supine,"general-inhalation,epidural",0,620
150272250,腹腔鏡下腟式子宮全摘術,LAVH,フククウキョウカチツシキシキュウゼンテキジュツ,150272250,1107,180,laparoscopic,lithotomy,general-inhalation,0,630
150216910,子宮筋腫摘出（核出）術（腹式）,子宮筋腫核出(腹式),シキュウキンシュテキシュツジュツ,150216910,1107,120,open,supine,general-inhalation,0,640
150270010,子宮附属器腫瘍摘出術（両側）（腹腔鏡）,附属器摘出(腹腔鏡),シキュウフゾクキシュヨウテキシュツジュツ,150270010,1108,120,laparoscopic,lithotomy,general-inhalation,0,650
150222210,帝王切開術（選択帝王切開）,選択帝王切開,テイオウセッカイジュツ,150222210,1109,60,open,supine,spinal,0,660
150222110,帝王切開術（緊急帝王切開）,緊急帝王切開,テイオウセッカイジュツ,150222110,1109,60,open,supine,spinal,0,670
